FovWord,FovCol,ParaWord,ParaCol,ParaPos,Compatibility,Condition,Trigger,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fovealWord.started,fovealWord.stopped,parafovealWord.started,parafovealWord.stopped,voicekey.keys,voicekey.started,voicekey.stopped,p_port.started,p_port.stopped,mic.filename,mic.started,mic.stopped,ISI.started,ISI.stopped,thanksText.started,thanksText.stopped,session,participant,date,expName,psychopyVersion,frameRate,
GREEN,GREEN,SHORT,white,"[0.7, 0]",c,foveal_unified,2,0,0,0,5,22.603290161692712,24.588149204297224,22.603290161692712,24.588149204297224,None,22.603290161692712,24.588149204297224,None,None,C:\Users\Experimenter\Desktop\stroop-ellen\data\2021v1-3_2020_Mar_11_2046_wav\mic-1583959573.590.wav,22.603290161692712,None,0.014924230024917051,None,,,01,2021v1-3,2020_Mar_11_2046,stroop,2020.1.3,59.99856868458942,
YELLOW,YELLOW,WEEKLY,white,"[-0.7, 0]",c,foveal_unified,1,0,1,1,3,25.121474400761144,None,25.121474400761144,None,None,25.121474400761144,None,None,None,C:\Users\Experimenter\Desktop\stroop-ellen\data\2021v1-3_2020_Mar_11_2046_wav\mic-1583959575.117.wav,25.121474400761144,None,0.015283176929187903,None,,,01,2021v1-3,2020_Mar_11_2046,stroop,2020.1.3,59.99856868458942,
RED,RED,ROOM,white,"[0.7, 0]",c,foveal_unified,2,0,2,2,4,27.60457643433074,None,27.60457643433074,None,None,27.60457643433074,None,None,None,C:\Users\Experimenter\Desktop\stroop-ellen\data\2021v1-3_2020_Mar_11_2046_wav\mic-1583959578.599.wav,27.60457643433074,None,0.014447390976783936,None,,,01,2021v1-3,2020_Mar_11_2046,stroop,2020.1.3,59.99856868458942,
GREEN,GREEN,SHORT,white,"[-0.7, 0]",c,foveal_unified,1,0,3,3,1,30.092380283995226,None,30.092380283995226,None,None,30.092380283995226,None,None,None,C:\Users\Experimenter\Desktop\stroop-ellen\data\2021v1-3_2020_Mar_11_2046_wav\mic-1583959580.086.wav,30.092380283995226,None,0.013147803460014984,None,,,01,2021v1-3,2020_Mar_11_2046,stroop,2020.1.3,59.99856868458942,
BLUE,BLUE,PUB,white,"[-0.7, 0]",c,foveal_unified,1,0,4,4,2,32.57108091839382,None,32.57108091839382,None,None,32.57108091839382,None,None,None,C:\Users\Experimenter\Desktop\stroop-ellen\data\2021v1-3_2020_Mar_11_2046_wav\mic-1583959583.566.wav,32.57108091839382,None,0.015115908781808685,None,,,01,2021v1-3,2020_Mar_11_2046,stroop,2020.1.3,59.99856868458942,
YELLOW,YELLOW,WEEKLY,white,"[0.7, 0]",c,foveal_unified,2,0,5,5,7,35.04986698992161,None,35.04986698992161,None,None,35.04986698992161,None,None,None,C:\Users\Experimenter\Desktop\stroop-ellen\data\2021v1-3_2020_Mar_11_2046_wav\mic-1583959585.045.wav,35.04986698992161,None,0.013340869183593895,None,,,01,2021v1-3,2020_Mar_11_2046,stroop,2020.1.3,59.99856868458942,
RED,RED,ROOM,white,"[-0.7, 0]",c,foveal_unified,1,0,6,6,0,37.52296455746,None,37.52296455746,None,None,37.52296455746,None,None,None,C:\Users\Experimenter\Desktop\stroop-ellen\data\2021v1-3_2020_Mar_11_2046_wav\mic-1583959588.517.wav,37.52296455746,None,0.01448206513759942,None,,,01,2021v1-3,2020_Mar_11_2046,stroop,2020.1.3,59.99856868458942,
RED,GREEN,ROOM,white,"[-0.7, 0]",ic,foveal_unified,3,0,7,7,8,39.99564658986583,None,39.99564658986583,None,None,39.99564658986583,None,None,None,C:\Users\Experimenter\Desktop\stroop-ellen\data\2021v1-3_2020_Mar_11_2046_wav\mic-1583959590.991.wav,39.99564658986583,None,0.014517848870127636,None,,,01,2021v1-3,2020_Mar_11_2046,stroop,2020.1.3,59.99856868458942,
GREEN,BLUE,SHORT,white,"[-0.7, 0]",ic,foveal_unified,3,0,8,8,9,42.46472445138534,44.45279792731708,42.46472445138534,44.45279792731708,None,42.46472445138534,44.45279792731708,None,None,C:\Users\Experimenter\Desktop\stroop-ellen\data\2021v1-3_2020_Mar_11_2046_wav\mic-1583959593.461.wav,42.46472445138534,None,0.015652664778826875,None,,,01,2021v1-3,2020_Mar_11_2046,stroop,2020.1.3,59.99856868458942,
BLUE,BLUE,PUB,white,"[0.7, 0]",c,foveal_unified,2,0,9,9,6,45.12014069387169,None,45.12014069387169,None,None,45.12014069387169,None,None,None,C:\Users\Experimenter\Desktop\stroop-ellen\data\2021v1-3_2020_Mar_11_2046_wav\mic-1583959595.113.wav,45.12014069387169,None,0.014700373648338427,None,,,01,2021v1-3,2020_Mar_11_2046,stroop,2020.1.3,59.99856868458942,
,,,,,,,,,,,,,,,,,,,,,,,,,,47.619804770609335,None,,,,,,,
