FovWord,FovCol,ParaWord,ParaCol,ParaPos,Compatibility,Condition,Trigger,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,voicekey.keys,voicekey.rt,voicekey.started,voicekey.stopped,mic.filename,ISI.started,ISI.stopped,thanksText.started,thanksText.stopped,session,participant,date,expName,psychopyVersion,frameRate,
YELLOW,YELLOW,WEEKLY,white,"[0.4, 0]",c,foveal_unified,2,0,0,0,7,0,0.8687582999991719,17.39729140000054,None,C:\Users\mgree\Desktop\stroopEllen\data\matt_2020_Mar_09_2026_wav\mic-1583785622.403.wav,0.00922611999885703,None,,,01,matt,2020_Mar_09_2026,stroop,2020.1.1,60.16463450573859,
ROOM,RED,RED,white,"[-0.4, 0]",c,fov_dis,9,0,1,1,32,0,0.5212973999987298,20.346751299999596,None,C:\Users\mgree\Desktop\stroopEllen\data\matt_2020_Mar_09_2026_wav\mic-1583785624.352.wav,0.014710219998960383,None,,,01,matt,2020_Mar_09_2026,stroop,2020.1.1,60.16463450573859,
YELLOW,YELLOW,WEEKLY,white,"[-0.4, 0]",c,foveal_unified,1,0,2,2,3,0,0.551912099999754,23.329442299998846,25.329605299999457,C:\Users\mgree\Desktop\stroopEllen\data\matt_2020_Mar_09_2026_wav\mic-1583785627.334.wav,0.013030719997914275,None,,,01,matt,2020_Mar_09_2026,stroop,2020.1.1,60.16463450573859,
SHORT,BLUE,GREEN,white,"[-0.4, 0]",ic,fov_dis,11,0,3,3,41,0,0.5470233999985794,26.345687499999258,None,C:\Users\mgree\Desktop\stroopEllen\data\matt_2020_Mar_09_2026_wav\mic-1583785630.352.wav,0.014717919999384321,None,,,01,matt,2020_Mar_09_2026,stroop,2020.1.1,60.16463450573859,
RED,GREEN,ROOM,white,"[-0.4, 0]",ic,foveal_unified,3,0,4,4,8,0,0.4358379999994213,29.32854529999895,31.327692099999695,C:\Users\mgree\Desktop\stroopEllen\data\matt_2020_Mar_09_2026_wav\mic-1583785633.333.wav,0.014700219999213004,None,,,01,matt,2020_Mar_09_2026,stroop,2020.1.1,60.16463450573859,
ROOM,white,RED,RED,"[-0.4, 0]",c,para_unified,13,0,5,5,48,None,,32.32764899999893,34.32774309999877,C:\Users\mgree\Desktop\stroopEllen\data\matt_2020_Mar_09_2026_wav\mic-1583785636.334.wav,0.013025219997871318,None,,,01,matt,2020_Mar_09_2026,stroop,2020.1.1,60.16463450573859,
ROOM,RED,RED,white,"[0.4, 0]",c,fov_dis,10,0,6,6,36,None,,35.32702439999957,37.326846699999805,C:\Users\mgree\Desktop\stroopEllen\data\matt_2020_Mar_09_2026_wav\mic-1583785639.332.wav,0.01463841999975557,None,,,01,matt,2020_Mar_09_2026,stroop,2020.1.1,60.16463450573859,
WEEKLY,white,YELLOW,YELLOW,"[-0.4, 0]",c,para_unified,13,0,7,7,51,None,,38.32680029999938,40.32619209999939,C:\Users\mgree\Desktop\stroopEllen\data\matt_2020_Mar_09_2026_wav\mic-1583785642.332.wav,0.014699719999043737,None,,,01,matt,2020_Mar_09_2026,stroop,2020.1.1,60.16463450573859,
GREEN,white,SHORT,BLUE,"[-0.4, 0]",ic,para_dis,7,0,8,8,25,None,,41.32607259999895,43.32576119999976,C:\Users\mgree\Desktop\stroopEllen\data\matt_2020_Mar_09_2026_wav\mic-1583785645.331.wav,0.014292819998445339,None,,,01,matt,2020_Mar_09_2026,stroop,2020.1.1,60.16463450573859,
GREEN,white,SHORT,GREEN,"[-0.4, 0]",c,para_dis,5,0,9,9,17,None,,44.30877779999901,46.30829839999933,C:\Users\mgree\Desktop\stroopEllen\data\matt_2020_Mar_09_2026_wav\mic-1583785648.314.wav,0.014816219998465385,None,,,01,matt,2020_Mar_09_2026,stroop,2020.1.1,60.16463450573859,
PUB,white,BLUE,YELLOW,"[0.4, 0]",ic,para_unified,16,0,10,10,62,None,,47.32486830000016,49.32416229999944,C:\Users\mgree\Desktop\stroopEllen\data\matt_2020_Mar_09_2026_wav\mic-1583785651.331.wav,0.012314019999394077,None,,,01,matt,2020_Mar_09_2026,stroop,2020.1.1,60.16463450573859,
RED,RED,ROOM,white,"[0.4, 0]",c,foveal_unified,2,0,11,11,4,None,,50.32406099999935,52.323803999999654,C:\Users\mgree\Desktop\stroopEllen\data\matt_2020_Mar_09_2026_wav\mic-1583785654.329.wav,0.012744419998853118,None,,,01,matt,2020_Mar_09_2026,stroop,2020.1.1,60.16463450573859,
ROOM,white,RED,GREEN,"[0.4, 0]",ic,para_unified,16,0,12,12,60,None,,53.32373899999948,55.32336899999973,C:\Users\mgree\Desktop\stroopEllen\data\matt_2020_Mar_09_2026_wav\mic-1583785657.329.wav,0.013115519999701064,None,,,01,matt,2020_Mar_09_2026,stroop,2020.1.1,60.16463450573859,
GREEN,white,SHORT,BLUE,"[0.4, 0]",ic,para_dis,8,0,13,13,29,None,,56.32304490000024,58.32260209999913,C:\Users\mgree\Desktop\stroopEllen\data\matt_2020_Mar_09_2026_wav\mic-1583785660.327.wav,0.01316502000008768,None,,,01,matt,2020_Mar_09_2026,stroop,2020.1.1,60.16463450573859,
RED,GREEN,ROOM,white,"[0.4, 0]",ic,foveal_unified,4,0,14,14,12,None,,59.32242299999962,61.32178639999984,C:\Users\mgree\Desktop\stroopEllen\data\matt_2020_Mar_09_2026_wav\mic-1583785663.328.wav,0.014248020001105033,None,,,01,matt,2020_Mar_09_2026,stroop,2020.1.1,60.16463450573859,
