FovWord,FovCol,ParaWord,ParaCol,ParaPos,Compatibility,Condition,Trigger
RED,RED,ROOM,white,"[-0.4, 0]",c,foveal_unified,1
GREEN,GREEN,SHORT,white,"[-0.4, 0]",c,foveal_unified,1
BLUE,BLUE,PUB,white,"[-0.4, 0]",c,foveal_unified,1
YELLOW,YELLOW,WEEKLY,white,"[-0.4, 0]",c,foveal_unified,1
RED,RED,ROOM,white,"[0.4, 0]",c,foveal_unified,2
GREEN,GREEN,SHORT,white,"[0.4, 0]",c,foveal_unified,2
BLUE,BLUE,PUB,white,"[0.4, 0]",c,foveal_unified,2
YELLOW,YELLOW,WEEKLY,white,"[0.4, 0]",c,foveal_unified,2
RED,GREEN,ROOM,white,"[-0.4, 0]",ic,foveal_unified,3
GREEN,BLUE,SHORT,white,"[-0.4, 0]",ic,foveal_unified,3
BLUE,YELLOW,PUB,white,"[-0.4, 0]",ic,foveal_unified,3
YELLOW,RED,WEEKLY,white,"[-0.4, 0]",ic,foveal_unified,3
RED,GREEN,ROOM,white,"[0.4, 0]",ic,foveal_unified,4
GREEN,BLUE,SHORT,white,"[0.4, 0]",ic,foveal_unified,4
BLUE,YELLOW,PUB,white,"[0.4, 0]",ic,foveal_unified,4
YELLOW,RED,WEEKLY,white,"[0.4, 0]",ic,foveal_unified,4
RED,white,ROOM,RED,"[-0.4, 0]",c,para_dis,5
GREEN,white,SHORT,GREEN,"[-0.4, 0]",c,para_dis,5
BLUE,white,PUB,BLUE,"[-0.4, 0]",c,para_dis,5
YELLOW,white,WEEKLY,YELLOW,"[-0.4, 0]",c,para_dis,5
RED,white,ROOM,RED,"[0.4, 0]",c,para_dis,6
GREEN,white,SHORT,GREEN,"[0.4, 0]",c,para_dis,6
BLUE,white,PUB,BLUE,"[0.4, 0]",c,para_dis,6
YELLOW,white,WEEKLY,YELLOW,"[0.4, 0]",c,para_dis,6
RED,white,ROOM,GREEN,"[-0.4, 0]",ic,para_dis,7
GREEN,white,SHORT,BLUE,"[-0.4, 0]",ic,para_dis,7
BLUE,white,PUB,YELLOW,"[-0.4, 0]",ic,para_dis,7
YELLOW,white,WEEKLY,RED,"[-0.4, 0]",ic,para_dis,7
RED,white,ROOM,GREEN,"[0.4, 0]",ic,para_dis,8
GREEN,white,SHORT,BLUE,"[0.4, 0]",ic,para_dis,8
BLUE,white,PUB,YELLOW,"[0.4, 0]",ic,para_dis,8
YELLOW,white,WEEKLY,RED,"[0.4, 0]",ic,para_dis,8
ROOM,RED,RED,white,"[-0.4, 0]",c,fov_dis,9
SHORT,GREEN,GREEN,white,"[-0.4, 0]",c,fov_dis,9
PUB,BLUE,BLUE,white,"[-0.4, 0]",c,fov_dis,9
WEEKLY,YELLOW,YELLOW,white,"[-0.4, 0]",c,fov_dis,9
ROOM,RED,RED,white,"[0.4, 0]",c,fov_dis,10
SHORT,GREEN,GREEN,white,"[0.4, 0]",c,fov_dis,10
PUB,BLUE,BLUE,white,"[0.4, 0]",c,fov_dis,10
WEEKLY,YELLOW,YELLOW,white,"[0.4, 0]",c,fov_dis,10
ROOM,GREEN,RED,white,"[-0.4, 0]",ic,fov_dis,11
SHORT,BLUE,GREEN,white,"[-0.4, 0]",ic,fov_dis,11
PUB,YELLOW,BLUE,white,"[-0.4, 0]",ic,fov_dis,11
WEEKLY,RED,YELLOW,white,"[-0.4, 0]",ic,fov_dis,11
ROOM,GREEN,RED,white,"[0.4, 0]",ic,fov_dis,12
SHORT,BLUE,GREEN,white,"[0.4, 0]",ic,fov_dis,12
PUB,YELLOW,BLUE,white,"[0.4, 0]",ic,fov_dis,12
WEEKLY,RED,YELLOW,white,"[0.4, 0]",ic,fov_dis,12
ROOM,white,RED,RED,"[-0.4, 0]",c,para_unified,13
SHORT,white,GREEN,GREEN,"[-0.4, 0]",c,para_unified,13
PUB,white,BLUE,BLUE,"[-0.4, 0]",c,para_unified,13
WEEKLY,white,YELLOW,YELLOW,"[-0.4, 0]",c,para_unified,13
ROOM,white,RED,RED,"[0.4, 0]",c,para_unified,14
SHORT,white,GREEN,GREEN,"[0.4, 0]",c,para_unified,14
PUB,white,BLUE,BLUE,"[0.4, 0]",c,para_unified,14
WEEKLY,white,YELLOW,YELLOW,"[0.4, 0]",c,para_unified,14
ROOM,white,RED,GREEN,"[-0.4, 0]",ic,para_unified,15
SHORT,white,GREEN,BLUE,"[-0.4, 0]",ic,para_unified,15
PUB,white,BLUE,YELLOW,"[-0.4, 0]",ic,para_unified,15
WEEKLY,white,YELLOW,RED,"[-0.4, 0]",ic,para_unified,15
ROOM,white,RED,GREEN,"[0.4, 0]",ic,para_unified,16
SHORT,white,GREEN,BLUE,"[0.4, 0]",ic,para_unified,16
PUB,white,BLUE,YELLOW,"[0.4, 0]",ic,para_unified,16
WEEKLY,white,YELLOW,RED,"[0.4, 0]",ic,para_unified,16
